,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,8223092.589975879,8223092.58997588,-1.862645149230957e-09,1.7321982235207532e-06,1232.459151796274
Ocean_Mixed_Water,8223094.346984245,8223094.346984245,0.0,1.41931870062672e-08,1233.1104522708756
Ocean_Column_Water,0.9041981446169303,0.9041981446169298,4.440892098500626e-16,8.464143725535626e-11,1359.413107814585
Coast_Surface_Water,214843.30811550756,214843.30811550762,-5.820766091346741e-11,1.763116215180034e-06,2079.8925134429855
Coast_Column_Water,214844.8926690599,214844.8926690598,8.731149137020111e-11,1.4397020774905208e-08,2081.0810359552197
Surface_Freshwater,1535.093033534575,1535.0930335345747,2.2737367544323206e-13,2.5312256126011653e-08,43290.030409056126
Bulk_Freshwater,1535.6250555529332,1535.6250555529334,-2.2737367544323206e-13,3.067147152021092e-09,43301.96925219096
Sediment_Freshwater,0.7619463331064306,0.7619463331064305,1.1102230246251565e-16,0.002074159526654363,29537351594.397038
Sediment_Ocean,0.7424918776965986,0.7424918776965985,1.1102230246251565e-16,0.0007757471501758449,10873121960.867157
Sediment_Coast,0.026406722061796072,0.026406722061796072,0.0,0.00048082373351563307,6653981937.541936
Urban_Soil_Surface,0.11020829833397118,0.11020829833397118,0.0,6.230834716077986e-06,84302119.17748325
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,0.1741369553746733,0.17413695537467327,2.7755575615628914e-17,6.2308347160779845e-06,84302119.17748322
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,0.005804565179155777,0.005804565179155778,-8.673617379884035e-19,1.5577086790194965e-06,21075529.794370808
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0000000000000002,1.0,2.220446049250313e-16,4.1319042345444364e-14,7.892561808510247e-13
