,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,51.42649128158686,51.42649128158687,-7.105427357601002e-15,1.4949474730250869e-12,0.44328137866521555
Ocean_Mixed_Water,323.43592100885735,323.43592100885724,1.1368683772161603e-13,2.6408730382687956e-13,0.44322767172682975
Ocean_Column_Water,272.0102728403712,272.0102728403712,0.0,5.624147939353087e-13,1.327099190543762
Coast_Surface_Water,3.0587851070792103,3.058785107079214,-3.552713678800501e-15,3.4594395622754315e-11,217.9865741772657
Coast_Column_Water,3.058341355119802,3.0583413551198033,-1.3322676295501878e-15,1.8306131050957066e-12,21.84478274960747
Surface_Freshwater,21385.042085164234,21385.04208516425,-1.4551915228366852e-11,7.858656360763692e-08,561769.9914335199
Bulk_Freshwater,21387.162353510175,21387.162353510183,-7.275957614183426e-12,1.5953173531990566e-08,168952.40683439438
Sediment_Freshwater,2.8648072587479483,2.864807258747948,4.440892098500626e-16,0.007800289694509874,89436480582.45543
Sediment_Ocean,0.0007911919998034632,0.0007911919998034628,4.336808689942018e-19,8.266249765577933e-07,10583267.759239184
Sediment_Coast,0.00033468210049181484,0.00033468210049181473,1.0842021724855044e-19,6.094400834931102e-06,76092982.14234112
Urban_Soil_Surface,1.0,0.9999999999999999,1.1102230246251565e-16,5.6536892505102405e-05,624436249.4634584
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.2947209767630198e-16,1.294720976763019e-16,7.395570986446986e-32,4.632674952895325e-21,5.445538301963147e-08
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,4.315736589210066e-18,4.315736589210065e-18,7.703719777548943e-34,1.1581687382238312e-21,1.3613845754907866e-08
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,7.435073005199488e-16,7.435073005199489e-16,-9.860761315262648e-32,3.072100964973395e-29,3.39305411501871e-16
