,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,5012589.465930943,5012589.465930942,9.313225746154785e-10,1.0559041664432163e-06,1340.33421626939
Ocean_Mixed_Water,5012594.090419333,5012594.090419335,-1.862645149230957e-09,3.135788991211191e-08,1341.830803725464
Ocean_Column_Water,1.344489261677683,1.3444892616776813,1.5543122344752192e-15,1.0709890215736396e-10,1483.9077738392334
Coast_Surface_Water,128226.0832067254,128226.08320672544,-4.3655745685100555e-11,1.0522900194307457e-06,1477.719925583118
Coast_Column_Water,128230.39583459518,128230.39583459521,-2.9103830456733704e-11,3.1266131645897115e-08,1479.443615156724
Surface_Freshwater,1.0501588344097682e-13,1.0501588344097685e-13,-2.524354896707238e-29,1.7318742946466993e-24,7.037744026109542e-14
Bulk_Freshwater,1.0501480250919026e-13,1.0501480250919027e-13,-1.262177448353619e-29,5.649670532614237e-26,7.056404895613453e-14
Sediment_Freshwater,1.510463184513694e-18,1.5104631845136946e-18,-5.7777898331617076e-34,4.1127735037439614e-21,4.1741466506575525e-08
Sediment_Ocean,0.9939139440339448,0.9939139440339447,1.1102230246251565e-16,0.0010384300950245847,11869645744.947351
Sediment_Coast,0.025832673132671253,0.025832673132671256,-3.469446951953614e-18,0.00047041337881963396,5295432762.616994
Urban_Soil_Surface,9.690870705491678e-19,9.690870705491678e-19,0.0,7.229308129654317e-23,1.1209041602328286e-10
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.5312265456364074e-18,1.5312265456364072e-18,1.925929944387236e-34,7.229308129654314e-23,1.1209041602328281e-10
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,5.1040884854546916e-20,5.104088485454691e-20,6.018531076210112e-36,1.8073270324135792e-23,2.8022604005820713e-11
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,8.791536997421747e-18,8.791536997421747e-18,0.0,3.6332790098167243e-31,4.624206125913277e-22
