River Section,Compartment,MP form,Size Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sediment_resuspension,k_burial
RS0,Surface Water,freeMP,mp1,1.6045073624072808e-09,"(3.170979198376459e-07, 1000.0)",21928.606056879955,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,freeMP,mp2,1.6045073624072808e-09,"(3.170979198376459e-08, 999.9999999999999)",5.7077061504378515,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,freeMP,mp3,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999997)",0.004785663284216708,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,freeMP,mp4,1.6045073624072808e-09,"(3.170979198376459e-10, 1000.0)",4.140236421405342e-05,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,freeMP,mp5,1.6045073624072808e-09,"(3.170979198376459e-11, 1000.0000000000001)",4.556187747221936e-05,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,2192.8605932145542,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.5707693998140393,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.00047848171215929627,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,4.258401353516199e-06,1.1574074074074074e-06,0.0,2.6000000000000002e-05,5.755925863473383e-07,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,2.8639142214099005e-06,1.1574074074074074e-06,0.0,2.6000000000000002e-05,1.3943138231729607e-06,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801116e-07, 1000.0)",20443.29031656357,0.0,0.0,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-08, 1000.0000000000001)",35.08265953716382,0.0,0.0,0.0,2.6000000000000002e-05,0.0056370386577781085,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,biofMP,mp3,3.2090147248145615e-10,"(3.1709791983764586e-09, 999.9999999999997)",0.18063309371622208,0.0,0.0,0.0,2.6000000000000002e-05,0.0007568824252355592,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070526e-09, 1000.0000000000002)",0.024380966537051282,0.0,0.0,0.0,2.6000000000000002e-05,0.00026319475066105547,0.0,4.900000000000001e-09,0.0,0.0
RS0,Surface Water,biofMP,mp5,3.2090147248145615e-10,"(1.601344495180112e-09, 1000.0000000000002)",0.018300414307550607,0.0,0.0,0.0,2.6000000000000002e-05,0.00022206271491354384,0.0,4.900000000000001e-09,0.0,0.0
