,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,123659.77134159453,123659.77134159452,1.4551915228366852e-11,3.5947492899487232e-09,471.91058576360706
Ocean_Mixed_Water,739227.8616751358,739227.8616751359,-1.1641532182693481e-10,5.976396206096238e-10,471.97739382526487
Ocean_Column_Water,615569.2261046816,615569.2261046816,0.0,1.2335606046144705e-09,1413.1943315678452
Coast_Surface_Water,4193.317471857936,4193.317471857941,-5.4569682106375694e-12,4.747470541292664e-08,12626.018055865094
Coast_Column_Water,4192.2801081699445,4192.280108169944,9.094947017729282e-13,7.578798130640655e-10,1265.0413549150437
Surface_Freshwater,3.686352938929721e-13,3.686352938929726e-13,-5.048709793414476e-28,1.3552225020504371e-24,7.341800774087412e-13
Bulk_Freshwater,3.686385703084521e-13,3.6863857030845236e-13,-2.524354896707238e-28,1.3882602855215288e-25,2.2082221545092827e-13
Sediment_Freshwater,4.4554887806033716e-18,4.4554887806033716e-18,0.0,1.2131655744623903e-20,1.3073571463487754e-07
Sediment_Ocean,0.9426512834171961,0.9426512834171962,-1.1102230246251565e-16,0.0009848695742531673,11290183818.008617
Sediment_Coast,0.025324946110746663,0.025324946110746666,-3.469446951953614e-18,0.00046114107673893154,4203172939.857009
Urban_Soil_Surface,4.307412677145906e-19,4.3074126771459056e-19,4.81482486096809e-35,3.211059340862581e-23,5.560904591146346e-11
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,6.806018607305274e-19,6.806018607305275e-19,-9.62964972193618e-35,3.21105934086258e-23,5.5609045911463435e-11
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,2.2686728691017588e-20,2.2686728691017585e-20,3.009265538105056e-36,8.027648352156453e-24,1.3902261477865857e-11
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,3.9076771547108685e-18,3.907677154710869e-18,-7.703719777548943e-34,1.6149252778312308e-31,2.6706617609690527e-20
